date,Price
10/01/2018,6608.2
11/01/2018,6400.5
12/01/2018,4196.2
01/02/2018,14754.1
02/02/2018,8893.2
03/02/2018,10827.7
04/02/2018,7068.4
05/02/2018,9243.2
06/02/2018,7646.6
07/02/2018,6619.5
08/02/2018,7535.6
09/02/2018,7293.9
10/02/2018,6549.9
11/02/2018,6424.7
12/02/2018,4160.4
01/03/2018,15156.6
02/03/2018,9241.1
03/03/2018,11402.3
04/03/2018,7424.2
05/03/2018,9749.7
06/03/2018,7729.3
07/03/2018,6513.5
08/03/2018,7419
09/03/2018,7264.2
10/03/2018,6507.8
11/03/2018,6386.2
12/03/2018,3897.8
01/04/2018,15180.1
02/04/2018,8222.2
03/04/2018,11416.5
04/04/2018,6808.9
05/04/2018,9708.6
06/04/2018,7504.3
07/04/2018,6598.4
08/04/2018,7014.3
09/04/2018,7377.5
10/04/2018,6584.2
11/04/2018,6478.2
12/04/2018,3958.5
01/05/2018,16954.8
02/05/2018,6938.5
03/05/2018,11330.6
04/05/2018,6782
05/05/2018,9853.5
06/05/2018,7631.5
07/05/2018,6546.5
08/05/2018,7027.1
09/05/2018,6706.8
10/05/2018,6639.1
11/05/2018,6459.7
12/05/2018,3771.6
01/06/2018,17172.3
02/06/2018,7701.2
03/06/2018,10675.1
04/06/2018,6624.3
05/06/2018,9656.4
06/06/2018,7661
07/06/2018,6617.7
08/06/2018,6943.6
09/06/2018,6514
10/06/2018,6596.3
11/06/2018,6502.8
12/06/2018,3508.6
01/07/2018,16228.2
02/07/2018,7594.7
03/07/2018,9902.9
04/07/2018,6905.7
05/07/2018,9431.6
06/07/2018,7697.8
07/07/2018,6765.5
08/07/2018,6724.9
09/07/2018,6390.9
10/07/2018,6611
11/07/2018,6565.3
12/07/2018,3422.2
01/08/2018,14976.2
02/08/2018,8164.2
03/08/2018,9300
04/08/2018,7030.5
05/08/2018,9196.4
06/08/2018,7622.1
07/08/2018,6714.8
08/08/2018,6283.6
09/08/2018,6184.3
10/08/2018,6669.6
11/08/2018,6474
12/08/2018,3430.4
01/09/2018,14778.5
02/09/2018,8699.8
03/09/2018,9217
04/09/2018,6781.9
05/09/2018,9319.1
06/09/2018,7515.8
07/09/2018,6667.1
08/09/2018,6538.8
09/09/2018,6238.5
10/09/2018,6650.8
11/09/2018,6412
12/09/2018,3567.5
01/10/2018,15043
02/10/2018,8559.6
03/10/2018,8762
04/10/2018,6854.8
05/10/2018,9025.7
06/10/2018,6775.1
07/10/2018,6307.2
08/10/2018,6152.3
09/10/2018,6321
10/10/2018,6618
11/10/2018,6427.1
12/10/2018,3460.5
01/11/2018,13535.4
02/11/2018,8081.9
03/11/2018,9529.6
04/11/2018,6962.1
05/11/2018,8408.3
06/11/2018,6885.9
07/11/2018,6389.1
08/11/2018,6231.6
09/11/2018,6293.9
10/11/2018,6239.1
11/11/2018,6446.1
12/11/2018,3407.7
01/12/2018,13886.7
02/12/2018,8903.5
03/12/2018,9137.4
04/12/2018,7926.6
05/12/2018,8459.5
06/12/2018,6558.2
07/12/2018,6250.6
08/12/2018,6313
09/12/2018,6338
10/12/2018,6291.3
11/12/2018,6435
12/12/2018,3466.1
01/01/2019,3809.4
02/01/2019,3467.9
03/01/2019,3821.9
04/01/2019,4145.1
05/01/2019,5384.2
06/01/2019,8545.7
07/01/2019,10616.6
08/01/2019,10380
09/01/2019,9729.3
10/01/2019,8302.7
11/01/2019,9230.1
12/01/2019,7396.4
01/02/2019,3873.8
02/02/2019,3502.5
03/02/2019,3823.1
04/02/2019,4859.3
05/02/2019,5493.8
06/02/2019,8728.6
07/02/2019,10835.9
08/02/2019,10520.1
09/02/2019,10348.8
10/02/2019,8364.1
11/02/2019,9300.6
12/02/2019,7298.2
01/03/2019,3780.1
02/03/2019,3459.1
03/03/2019,3809.5
04/03/2019,4968.7
05/03/2019,5766.8
06/03/2019,8124.8
07/03/2019,11900.8
08/03/2019,10815.7
09/03/2019,10612.3
