date,Price,Volume
08/24/2018,6680.4,3700000
08/23/2018,6521.2,2760000
08/22/2018,6359.6,3630000
08/21/2018,6482.2,1460000
08/20/2018,6268.1,3100000
08/19/2018,6481.5,2710000
08/18/2018,6379.1,3150000
08/17/2018,6581.7,3200000
08/16/2018,6306.7,3500000
08/15/2018,6256.9,3740000
08/14/2018,6190.2,3660000
08/13/2018,6255.3,234090
08/12/2018,6313,216330
08/11/2018,6231.6,247340
08/10/2018,6152.3,298820
08/09/2018,6538.8,237660
08/08/2018,6283.6,311540
08/07/2018,6724.9,232480
08/06/2018,6943.6,168870
08/05/2018,7027.1,177640
08/04/2018,7014.3,222570
08/03/2018,7419,226460
08/02/2018,7535.6,216340
08/01/2018,7606.4,237690
07/31/2018,7729.4,266940
07/30/2018,8177.1,242210
07/29/2018,8215.6,155240
07/28/2018,8234.1,147140
07/27/2018,8187.4,243220
07/26/2018,7937,235450
07/25/2018,8173.7,269230
07/24/2018,8407,345320
07/23/2018,7723,272150
07/22/2018,7412.3,204160
07/21/2018,7408.7,160770
07/20/2018,7339.4,258850
07/19/2018,7477.5,247250
